TS,xs1,xs2,xs3,xs4,xs5,xs6,xs7,xs8,label
03/11/2022 12:17:27 PM,22.277376,62.127524,609.707408,92.419164,111.508498,335.152829,609.270413,92.924574,0
03/11/2022 12:17:28 PM,20.864523,61.799767,620.210767,93.096957,111.502093,333.3566,608.2838,92.793851,0
03/11/2022 12:17:29 PM,21.371786,61.530758,613.096513,92.240791,110.950846,372.645035,609.879622,91.656486,6
03/11/2022 12:17:30 PM,20.902602,62.073894,600.584378,93.321115,110.564247,344.265169,613.566002,92.432109,0
03/11/2022 12:17:31 PM,21.806593,61.854203,601.680242,91.364083,110.876195,336.792132,608.124737,97.727542,8
03/11/2022 12:17:32 PM,21.677921,67.802355,619.556531,92.772066,111.116127,349.133065,616.500215,93.326062,2
03/11/2022 12:17:33 PM,22.448388,61.395658,614.286955,92.57052,110.835219,348.295987,613.4808,97.797227,8
03/11/2022 12:17:34 PM,20.77617,60.560548,603.990231,90.908906,111.45066,349.565575,602.318156,90.703239,0
03/11/2022 12:17:35 PM,22.215265,61.918232,619.259625,92.11164,111.546501,346.8734,601.289775,92.172219,0
03/11/2022 12:17:36 PM,21.087865,61.597028,601.518502,93.133527,110.977205,343.4636,605.41532,99.990587,8
03/11/2022 12:17:37 PM,22.34251,60.724933,609.015913,91.853807,111.058831,340.638693,605.370079,93.063805,0
03/11/2022 12:17:38 PM,20.912585,60.551161,605.695672,92.006785,110.798083,333.806682,605.155435,90.969557,0
03/11/2022 12:17:39 PM,21.415649,65.182417,613.059843,90.92841,110.672196,340.516823,606.779313,91.674322,2
03/11/2022 12:17:40 PM,22.344493,61.886487,605.981498,96.51,111.219608,347.746065,603.605536,92.106664,4
03/11/2022 12:17:41 PM,21.749765,61.395125,619.047172,93.548955,110.6789,331.61648,619.559446,92.740871,0
03/11/2022 12:17:42 PM,21.171865,61.691475,612.743188,92.153739,110.587007,336.359946,615.241286,93.233624,0
03/11/2022 12:17:43 PM,21.278236,66.476601,616.656231,93.342588,110.906689,341.807915,605.063933,92.262907,2
03/11/2022 12:17:44 PM,21.264488,61.371094,603.844363,91.179642,111.477994,335.190046,602.625016,93.022146,0
03/11/2022 12:17:45 PM,24.792914,62.021651,610.041522,90.627197,110.644924,342.208698,608.931591,92.810843,1
03/11/2022 12:17:46 PM,22.415771,61.896989,613.58488,92.668804,111.187943,344.437017,615.85671,92.921305,0
03/11/2022 12:17:47 PM,21.238445,62.507124,647.833648,92.240371,111.488297,347.217205,613.928761,91.37004,3
03/11/2022 12:17:48 PM,21.474213,64.648293,603.578695,92.941991,110.959937,345.928192,600.955845,91.885685,2
03/11/2022 12:17:49 PM,20.648893,61.01739,602.303339,92.258049,111.289017,334.620808,604.05464,91.561445,0
03/11/2022 12:17:50 PM,21.571021,61.442233,611.144913,92.421953,110.824269,339.150567,611.062424,92.688453,0
03/11/2022 12:17:51 PM,21.754175,62.082658,607.875898,91.102606,110.888049,336.107788,605.212646,90.598018,0
03/11/2022 12:17:52 PM,22.422841,62.226759,616.309827,93.302829,111.002997,339.759572,615.711355,91.824569,0
03/11/2022 12:17:53 PM,20.802929,60.716081,605.692135,92.84091,111.067178,340.206876,666.170299,90.633629,7
03/11/2022 12:17:54 PM,22.148063,61.913671,617.987124,91.86393,111.0204,334.584137,634.869885,93.171598,7
03/11/2022 12:17:55 PM,21.524919,62.481854,603.751446,91.201396,110.640399,332.037101,603.495943,90.652876,0
03/11/2022 12:17:56 PM,21.622324,60.888679,608.868461,93.150929,111.277083,343.894793,601.497655,92.602138,0
03/11/2022 12:17:57 PM,20.660104,62.076805,608.785527,90.77356,111.058044,334.814033,600.754424,92.530667,0
03/11/2022 12:17:58 PM,22.322084,65.974002,600.966909,92.643024,111.545988,336.80589,614.8478,93.069725,2
03/11/2022 12:17:59 PM,20.907876,61.080559,614.534608,93.435644,110.569726,341.211057,614.457868,92.448789,0
03/11/2022 12:18:01 PM,22.410801,60.693329,614.154229,97.809359,110.779458,336.749504,608.14119,92.21119,4
03/11/2022 12:18:02 PM,20.760423,62.435677,601.243704,91.079858,111.006992,346.531629,605.948359,91.753252,0
03/11/2022 12:18:03 PM,21.171746,60.68736,615.483833,92.110745,111.316426,336.258698,613.986103,93.120032,0
03/11/2022 12:18:04 PM,22.01071,62.377581,618.053225,93.336561,111.132773,334.00923,603.265152,93.064289,0
03/11/2022 12:18:05 PM,21.180609,61.185015,610.333677,91.702255,110.58854,347.541324,610.628995,91.960239,0
03/11/2022 12:18:06 PM,25.577932,62.123172,605.173582,91.232957,110.951743,348.300476,606.221505,91.591138,1
03/11/2022 12:18:07 PM,20.679068,61.065643,609.198372,92.217581,110.792699,371.528091,615.742201,91.260077,6
03/11/2022 12:18:08 PM,22.202704,61.194582,605.559942,90.745421,110.676287,361.639795,601.486295,93.152334,6
03/11/2022 12:18:09 PM,22.379472,61.522122,604.834842,93.166202,110.909366,347.441004,607.693113,92.079967,0
03/11/2022 12:18:10 PM,21.372522,61.978751,620.320392,90.933496,110.796133,334.6413,619.463072,93.008097,0
03/11/2022 12:18:11 PM,21.417613,61.028917,615.986156,93.168775,114.508557,345.518285,611.419898,90.976277,5
03/11/2022 12:18:12 PM,21.679949,60.916859,603.984527,90.875833,110.89544,340.955685,608.353568,93.186555,0
